,41240 dsm,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,48653 H2_underground,63652 central_heat_store,63927 central_heat_store,63995 central_heat_store,64017 central_heat_store,64068 central_heat_store,64231 central_heat_store,64255 central_heat_store,64407 central_heat_store,64409 central_heat_store,64424 central_heat_store,64622 central_heat_store,64627 central_heat_store,64891 central_heat_store,65108 central_heat_store,65115 central_heat_store,65148 central_heat_store,65177 central_heat_store,65233 central_heat_store,65446 central_heat_store,65455 central_heat_store,65459 central_heat_store,65466 central_heat_store,65491 central_heat_store,65507 central_heat_store,65517 central_heat_store,65518 central_heat_store,65530 central_heat_store,65649 central_heat_store,65736 central_heat_store,65750 central_heat_store,65757 central_heat_store,65764 central_heat_store,65883 central_heat_store,65889 central_heat_store,65962 central_heat_store,65998 central_heat_store,66007 central_heat_store,66014 central_heat_store,66056 central_heat_store,66067 rural_heat_store,69914 battery_storage,71327 CH4,71328 CH4,71329 CH4,71330 CH4,71331 CH4,71332 CH4,71333 CH4,71334 CH4,71335 CH4,71336 CH4,71337 CH4,71338 CH4,71339 CH4,71340 CH4,71341 CH4,71342 CH4,71343 CH4,71344 CH4,71345 CH4,71346 CH4,71347 CH4,71348 CH4,71349 CH4,71350 CH4,71351 CH4,71352 CH4,71353 CH4,71354 CH4,71355 CH4,71356 CH4,71357 CH4,71358 CH4,71359 CH4,71360 CH4,71361 CH4,71362 CH4,71363 CH4,71377 H2_overground,71378 H2_overground,71379 H2_overground,71380 H2_overground,71381 H2_overground,71382 H2_overground,71383 H2_overground,71384 H2_overground,71385 H2_overground,71386 H2_overground,71387 H2_overground,71388 H2_overground,71389 H2_overground,71390 H2_overground,71391 H2_overground,71392 H2_overground,71393 H2_overground,71394 H2_overground,71395 H2_overground,71396 H2_overground,71397 H2_overground,71398 H2_overground,71399 H2_overground,71400 H2_overground,71401 H2_overground,71402 H2_overground,71403 H2_overground,71404 H2_overground,71405 H2_overground,71406 H2_overground,71407 H2_overground,71408 H2_overground,71409 H2_overground,71410 H2_overground,71411 H2_overground,71412 H2_overground,71413 H2_overground,71582 central_heat_store,71583 central_heat_store,71584 central_heat_store,71585 central_heat_store,71586 central_heat_store,71587 central_heat_store,71588 central_heat_store,71589 central_heat_store,71590 central_heat_store,71591 central_heat_store,71592 central_heat_store,71593 central_heat_store,71594 central_heat_store,71595 central_heat_store,71596 central_heat_store,71597 central_heat_store,71598 central_heat_store,71599 central_heat_store,71600 central_heat_store,71601 central_heat_store,71602 central_heat_store,71603 central_heat_store,71604 central_heat_store,71605 central_heat_store,71606 central_heat_store,71607 central_heat_store,71608 central_heat_store,71609 central_heat_store,71610 central_heat_store,71611 central_heat_store,71612 central_heat_store,71613 central_heat_store,71614 central_heat_store,71615 central_heat_store,71616 central_heat_store,71617 central_heat_store,71618 central_heat_store,71619 central_heat_store,71620 central_heat_store,71621 central_heat_store,71622 central_heat_store,71623 central_heat_store,71624 central_heat_store,71625 central_heat_store,71626 central_heat_store,71627 central_heat_store,71628 central_heat_store,71629 central_heat_store,71630 central_heat_store,71631 central_heat_store,71632 central_heat_store,71633 central_heat_store,71634 central_heat_store,71635 central_heat_store,71636 central_heat_store,71637 central_heat_store,71638 central_heat_store,71639 central_heat_store,71640 central_heat_store,71641 central_heat_store,71642 central_heat_store,71643 central_heat_store,71644 central_heat_store,71645 central_heat_store,71646 central_heat_store,71647 central_heat_store,71648 central_heat_store,71649 central_heat_store,71650 central_heat_store,71651 central_heat_store,71652 central_heat_store,71653 central_heat_store,71654 central_heat_store,71655 central_heat_store,71656 central_heat_store,71657 central_heat_store,71658 central_heat_store,71659 central_heat_store,71660 central_heat_store,71661 central_heat_store,71662 central_heat_store,71663 central_heat_store,71664 central_heat_store,71665 central_heat_store,71666 central_heat_store,71667 central_heat_store,71668 central_heat_store,71669 central_heat_store,71670 central_heat_store,71671 central_heat_store,71672 central_heat_store,71673 central_heat_store,71674 central_heat_store,71675 central_heat_store,71676 central_heat_store,71677 central_heat_store,71678 central_heat_store,71679 central_heat_store,71680 central_heat_store,71681 central_heat_store,71682 central_heat_store,71683 central_heat_store,71684 central_heat_store,71685 central_heat_store,71686 central_heat_store,71687 central_heat_store,71688 central_heat_store,71689 central_heat_store,71690 central_heat_store,71691 central_heat_store,71692 central_heat_store,71693 central_heat_store,71694 central_heat_store,71695 central_heat_store,71696 central_heat_store,71697 central_heat_store,71698 central_heat_store,71699 central_heat_store,71700 central_heat_store,71701 central_heat_store,71702 central_heat_store,71703 central_heat_store,71704 central_heat_store,71705 central_heat_store,71706 central_heat_store,71707 central_heat_store,71708 central_heat_store,71709 central_heat_store,71710 central_heat_store
0,-1944.3427152857164,34640890.85904162,3320990.483489411,6996452.2368937675,1969098.8202868695,38033164.12464547,18444079.72134775,32809566.962887883,16732957.081013259,1476134.2765760391,366.5461097722268,1238.5693473491403,602.8725861184652,609.7291687530471,604.8404513266712,609.050726936461,606.0268242765358,603.4615845640719,607.716386248332,611.5639822806903,616.0176710486219,608.8431648458708,607.9532094017148,612.7256427999076,605.5739886489489,643.3882603525437,610.8724201924534,616.3297455613881,608.6744183047439,711.3701750396597,603.2020230141623,624.0903720082807,601.8735873995581,602.1034325647873,603.854777075239,606.1016720272274,601.6014359726126,604.0605540236527,603.956050180323,619.812414631062,605.5200506842274,603.7601810088345,603.6867904988758,609.6135403344144,675.2269690880187,629.9780126877564,605.3795956038626,607.7791697703374,609.3434746912528,630.4146092506589,1261.5647660472926,724801.9667178692,8998022.69987579,398.49294337957076,201.22799170010674,1601565.164273279,71479.57392220784,1400888.5445313442,12130721.912114158,188258.05836539424,1014.5184585822673,1726.6818453890749,388866.47736198397,1271330.9034280651,16613780.720066248,1866894.2365104842,879392.5699094749,378221.4588815535,1382.2400305931196,101.00489391616426,1639283.5292761028,16223799.45874284,9640911.471101096,406225.7109938264,599.0241555594716,588872.7089819061,1181.4920309821969,401142.49230708554,1183.5302712927719,410942.9888400198,399749.8657570862,126709.8075586658,406.43906245596514,126744.002497996,791.2751450056811,5168354.969882695,16576357.57731626,2424.100806924346,1281.1294135869007,40.581388027165715,23.970434077923198,4.489720718347342,36.224569298288564,41.14206019834415,40.22148297731643,55.382353993218196,51.98641480110286,6.753399799623542,30.220525175881505,4.25593206040482,9.51358547021084,17.173022614814734,38.17355036691462,44.33705249271249,39.0380449746509,28.957040983051424,7.737534703500823,35.87423253020995,31.43718962086589,51.367097617132316,37.41481579157537,46.99130580707624,45.38163803535716,14.683276922082491,12.333203029875945,39.02549182153092,42.587922434688956,33.17104319008534,37.43145209412378,7.331220504814727,6.484212103156343,39.82278592373471,42.04242670269488,50.5200972422852,36.692925052370306,39.722094869769556,607.1424264523466,1176.167184421337,5031.248681554677,1826.7008122789218,624.7174470191756,684.3667403037449,626.9435709320289,605.0655121659438,608.1586711602909,744.9354864578944,614.3713095613809,641.331963811146,632.7373787137966,669.893575523703,606.9051072018116,675.9896444119266,738.0609145371618,603.2945782875933,614.8173961881273,856.9836088374243,738.0640970215012,610.5874316346573,601.2875608763273,606.4772827152885,702.4614838160918,1570.902969227413,657.1559562032373,601.8627304463586,613.8620804142071,613.5212148315195,3522.130273304787,602.6083240098579,609.0857861869957,632.3442965922035,611.0295882959966,635.15941684739,601.7477304068649,773.4535226458581,606.1166909442982,2068.213037530038,595.5459326490962,606.826614625745,626.2714502708,601.3764715094328,619.4939375959023,795.5484439136196,639.7176452059051,621.9705446319605,756.0195919501,600.813768357467,603.6550545626619,901.3028202882085,765.4398137883348,618.271682548283,643.8931818308257,2205.992352424207,851.1791978022178,646.6855414041491,606.9083623096928,609.4671481816097,611.2585885002811,606.2498308717426,606.8284673485073,604.0852802930915,957.8038052016918,612.8890232501556,876.2513027456797,632.4064400137606,596.3995305419718,691.8473587830966,601.8243318790913,608.1949318824371,2496.2368385984555,603.9904082736689,615.7521065931675,632.6345166143553,609.0344300094443,611.9988740134502,973.514189950151,605.3756845472319,640.5433711788802,603.7074850031586,617.5140188910684,602.4925162744054,600.08198949245,1272.039791975486,604.3870823598958,606.6559390702741,624.258298672708,604.1926892515296,604.3135620903081,628.3131554146809,606.3433999007544,600.5222570195752,607.2960442229748,1865.945127520723,604.716760152737,599.2879462535174,606.1194425010895,601.6521502565736,605.9658464005502,602.2607885751256,607.3866286566838,607.966770323138,740.4232388164291,565.3662213062873,612.1189924648518,627.2247257990296,606.1028111677053,724.336922796756,607.6309809572984,607.9437160164059,669.5213185000615,696.6383651718886,603.1008303120113,681.3639855471464,666.9444278497706,609.1039734436819,798.9659918673917,642.1516975456359,645.6304262868641,910.0600551351406,612.0056313438713,680.6544210170036,665.32969087951,394.2880807972752,1043.8472247419868,607.8406347244211,746.1229059953188
1,-1332.361039180886,34893922.340872675,3385558.854704501,6988655.336337037,1999342.7614429248,38280392.12896217,18171792.382016536,33087644.00489747,16647617.033675633,1490388.11092399,384.0307366242237,1234.2630562308134,602.8593259744024,609.8509545730484,604.8221122515117,609.1380588080917,606.0110350792337,603.4586944754873,607.6951365428096,611.7188451077642,616.4530009545236,608.856448859719,607.9370934379231,612.6631327186612,605.5790275861488,642.7627020547958,611.0883577317505,616.1153290313808,608.8372883310503,714.2381711121094,603.2570319722724,624.5002489629375,601.8878915142957,602.1216138277298,603.8552827579233,606.1762632080881,601.5992865209583,604.0898277464665,604.0595505416935,620.5797462901307,605.5294377967803,603.7614408512442,603.6905296744795,609.7322055384258,675.8487893249655,630.5451315328821,605.4922410685058,608.0360520621836,609.5370264878264,629.9885509358021,5791.767470686597,729149.1660889692,8980860.690983703,398.49892348403296,200.30465455418147,1732220.4274405178,67704.87586520244,1370861.7886665822,11851318.687614795,181620.67802035686,848.3379847111948,1762.3848059527963,395184.2245760824,1293468.6388923938,16539729.84232765,1848435.3040478013,865132.1711863931,381082.29273174953,1660.80375350241,100.9879466679388,1655090.839844893,16421432.271002762,9618344.324978625,403043.51285729004,596.6622566621709,607849.6221024415,1242.3033016576258,395381.4290970845,1190.5849140553073,420359.68030380056,401617.2826140851,69983.57690805792,397.7210881039598,126387.25351826203,792.1810693810264,4902867.736557258,16549144.073389702,1374.8612420733123,1283.2869480172574,88.66996036894095,47.69396031804583,5.943068347997513,72.10826042263284,81.88717122538685,80.43609315476596,110.62229185161405,103.64278162180453,10.233816869899009,60.32628202078439,8.444853263383687,12.251140366766862,34.46198993636341,77.37272394560071,90.33720886281974,77.61404682106146,57.627819292286446,8.744731572847707,79.15916325373816,62.57516250535605,111.94569849703055,74.83039806639336,93.71209340086335,91.09315103118807,16.107418618493742,14.683301077993073,77.64423205554922,85.31397459974544,66.52750982547357,75.21422691475225,9.557825528788612,8.667490104972014,79.23138336470764,86.68196378230938,101.42244178494401,73.20416276827122,79.14526453432157,607.084361029192,1177.68123876319,5070.406165099295,1837.2676421903416,624.4944612236644,683.9780566903992,627.5293377869805,605.0492406567745,608.209038889042,743.3217522904389,617.4027635436707,640.9240552994527,632.7220155239204,669.3826940848669,606.893053547317,675.861303493252,742.1253643360582,603.2859460123572,614.8205315176241,853.8952473120015,737.3666288490252,610.4392702075189,601.2944013225188,606.4402067855706,701.6452468078206,1591.350624567897,656.2172802592127,601.8802913723439,613.5438793522057,613.265387139877,3629.123374721299,602.5912466276061,609.0228947538593,632.5663731700284,610.9359005043226,634.6754375031117,601.7363160511238,771.4529435373066,606.1485856147259,2085.2505496994163,596.0234414265406,606.7861760160149,626.2832252701226,601.3665933552884,619.1960523162901,792.4834770667262,639.3275479715035,622.034880965843,755.0361815589852,600.8202020268187,603.64739721989,897.9704534176464,764.3246147407834,618.0975639494951,643.4245824757145,2227.6277397943404,849.2404411550997,646.4427662879913,606.8219307400134,609.6057725986471,611.2630260345285,606.2430266399692,606.7855878138508,604.1135769364855,954.1308701073955,612.8906773692245,874.2286598753926,632.2288426455084,601.673617139142,691.3684026215187,601.8455727271746,608.0997791795902,2532.725904740768,603.9960271540991,615.5807678036716,632.4726516685971,609.1437226389386,611.8799988900852,969.1144348929483,605.3345993108439,640.4342630324953,603.7455501309234,617.5967046816353,602.4933114018511,600.184329912576,1268.3261830418533,604.35605544504,606.6533231541359,625.0088383479467,604.247296110728,604.3107757215619,629.0163241022615,606.3437887221799,600.5242626171676,607.357103663968,1860.8009821407093,604.7289866642193,599.2649016664643,606.1296909351037,601.7256684860591,605.9718725190354,602.2543134917355,607.3531133003988,608.1254399973387,744.7992490438642,580.9654718471751,670.9018628162829,627.5095566254292,606.1021366569344,729.0476142986869,607.6240390780501,607.9535036513134,668.899804193069,698.2473730002947,603.0876757010105,683.0463958422595,666.9400641341006,609.1458656877877,797.6092945511032,642.7758793093458,646.3775142366173,927.2468700825699,612.5273942914346,680.5109270563686,667.8222584244354,477.9220775060684,1061.6294104369513,608.0597082638907,744.2959543070698
2,-915.0108993080554,34803123.19829348,3408646.4352740813,7098893.531300858,2041022.3674433122,38173803.9005638,18105723.471250072,33229688.801476587,16564341.156926136,1497571.7879858466,401.58317072403474,1229.9769280714092,602.846420655581,609.9774241897668,604.807108481149,609.2306536892937,605.995366893979,603.4584134491596,607.6810517731349,611.8750720876818,616.8744379115766,608.8732711115433,607.9297183100547,612.6013993085736,605.5881989100037,642.1385454520528,611.3122712629876,615.9019710752652,609.0096826248669,717.2060689479483,603.3135455599981,624.9273874225336,601.9032687695146,602.1395409695396,603.8579198382246,606.2555274695352,601.5977197441521,604.0987149234464,604.1603805392805,621.3392390758411,605.5429614174961,603.7646831995388,603.6968392854278,609.8576530556825,676.606224194545,631.2545326045996,605.6105350819672,608.3042224026506,609.7374138654932,629.5625075826407,11686.415865112525,733652.2292895623,8963292.176166175,400.23527318692413,199.5574942187367,1670205.9912112663,65273.59092568688,1315101.3412399397,11950829.978087861,201698.7916878544,931.9978309132555,1793.2309217093923,394911.10284533387,1291399.7947403754,16549777.622084385,1824985.538856637,852899.106918238,381661.2497605427,1868.037052239828,100.8732749923322,1665310.9654114495,16432133.787969012,9658145.949578004,399049.284942907,595.4831281278338,609528.963569425,1102.8613954281607,397797.83155954117,1186.5875271521882,431915.58891388396,406996.23448096943,75282.96898946408,398.18442722154316,125466.01859477871,793.0214247113777,5019683.995294431,16527977.78654418,1618.8435278766576,1282.5405599759022,128.57495741174301,71.42333837357968,6.846883310524803,107.97563345462993,122.58055103487777,118.81607692449865,165.57028224018666,155.1757314716865,12.317268012557015,90.1826028609797,12.638081200392874,13.637566887438211,51.39311286564198,115.27102739677001,130.42277014709123,116.24631624435357,86.30300605183807,9.550870701560838,114.25646092915532,93.69278569962195,162.29742725718802,112.00217092307972,138.93154376536563,136.1178649814039,16.39677060555921,14.845573684997031,116.24422836200577,127.54519639450126,99.01313409124096,112.2619581724085,11.177004421512992,9.597899189379444,118.58031451792928,127.58701097393923,151.59393866193417,109.65486272964256,118.44827417550592,607.0264240520147,1180.2344921479498,5110.307516421102,1849.0866491288573,624.2719876966813,683.5915596482555,628.1296291699718,605.0333941108422,608.2639844028023,741.7102562970266,620.5143545025998,640.5171466095592,633.6938814728261,668.8748567983683,606.8847038135076,675.7338047980721,746.3295849779728,603.2794068730142,614.8349075177441,850.8297559737864,736.9232649097388,610.291895267311,601.3023069415243,606.4073100041238,700.8304124470234,1614.1012789632123,655.2850077410413,601.8981720781092,613.2269845424834,613.0094833667056,3737.4793503988353,602.5746654297643,608.9606078067654,632.8116665405041,610.8428085750938,634.1931600913737,601.7256272488848,769.4582159258797,606.1841482524832,2102.5218498224654,596.5012729495504,606.7495638978161,626.2962447259,601.356841597563,618.9003066778868,789.4194624803185,638.938249156657,622.1161364996144,754.0564549524407,600.8283454989484,603.6423864500423,894.6460356047189,763.2286362824814,617.9246893525135,642.9566259192118,2250.196092033884,847.3049756101132,646.2272216529908,606.7367615347771,609.7356897567413,611.1739391639178,606.2405100042554,606.7454584344911,604.1461488068718,950.4819053468439,612.9074687141355,872.2146575406285,632.0520955427131,606.7476343462831,691.0535324565443,601.8672094060804,608.0079114175352,2571.8572099427265,604.004298956229,615.4113903788902,632.3114575743452,609.2548760561059,611.7615126874591,964.7437870519094,605.295368064088,640.3550466724955,603.783446405375,617.679616862602,602.496282778673,600.1955499790265,1264.723860857164,604.3255892217285,606.6529044168535,625.8282677129674,604.3016841781007,604.3085355885037,629.7151345543772,606.3479755286022,600.5271240741955,607.4210434982158,1855.5644737220907,604.7479204117313,599.2418740365054,606.1406275776993,601.725732243869,605.9823364703876,602.2484335830073,607.3347760796224,608.2893588138512,749.3356011285325,594.9051574078219,535.9227778089266,627.8129252101544,606.1064029221583,733.8224008335229,607.623243877037,607.9669242869056,668.2810481408742,699.9380250587113,603.0758965506378,684.980139184389,667.1002015525905,609.1890398097705,796.2623385155067,643.4400191704236,647.3187564820346,945.9898488229359,613.0479992510914,680.5567717472514,670.4481305065098,561.7955299701778,1080.1013877910204,608.2905927831829,742.4723095678222
3,-535.2421963381755,34722280.427419074,3433997.89920772,7069314.853328423,2021326.8891603565,37672543.06309166,18163536.603554923,33538755.099357385,16486925.59072038,1513862.1020741726,419.18469385109483,1225.2885125092805,602.8310022359186,610.0491196282823,604.775944642989,609.2775619359938,605.9621687083693,603.4451210917861,607.6313232322127,611.9639524274038,617.1174114764901,608.8722381621355,607.8872879574385,612.5126067470142,605.5755597459498,641.5050007805271,611.4007812096395,615.6776370858114,609.1296061809253,719.4997960424344,603.336425161999,625.034683684465,601.9131325414237,602.141924808173,603.8485924982725,606.2847876425977,601.5908854252474,604.0983032725172,604.2330915345254,621.9911618282714,605.538026297124,603.756828082623,603.6935102941122,609.9192873440916,676.1395274338465,631.4139916354555,605.6818773043549,608.4995131265658,609.8913837266844,629.1273254955906,17730.891477695975,737959.0849709352,8871722.926363448,402.4802829338066,200.63393798675082,1699632.9868892927,63541.84560508914,1302820.6011132502,12096268.400111767,204701.43261746198,912.4026997908353,1785.2410104920502,394372.2023478617,1297640.5647085225,16572640.376185765,1833651.0764761495,882420.9541469802,380624.97407708474,1764.1926568221363,101.14163188116778,1784845.2492051634,16403873.315499844,9728460.409760121,398630.41546305525,599.9974552409294,606654.8590453541,1173.3395677578073,401710.28386783943,1186.5945830292742,347980.4739381623,408870.97817547485,77270.524947443,398.3732315818625,126648.2671147247,793.2226662309856,5084075.708291663,16589616.271143217,1714.826450926125,1285.4410729239937,166.530441524873,95.0423561149831,7.535279837539938,143.4440146982253,162.6312630848856,154.5669156754341,219.96245253393508,205.8979982741547,13.327317471512238,119.78317948651902,16.77514386310393,14.369710026177824,68.16483587197513,152.5217108875052,163.99224115757588,154.4516995823297,114.77170668863046,10.055739377192744,147.62706106828995,124.53933775242069,210.3839630508122,149.0422204329592,181.7951668789244,180.72643003112623,16.413411650652783,14.619728116771455,154.3444646273769,169.29990634091158,130.7484578300125,148.84400070558365,12.299305013789908,10.06656195034213,157.38174584413343,166.6224367741136,201.1058399610933,145.85089980034147,157.26887802541157,606.9642403776496,1177.3542621576853,5139.779886331598,1849.5450498413568,624.0387613745603,683.1885081809737,628.3836961292859,605.0135280763259,608.2563700144685,740.089270736648,622.9054911703676,640.101524847907,633.6732729840828,668.3501755695402,606.8431405803746,675.601265551225,749.6208037903809,603.2584929005292,614.7908162302488,847.5639163938074,735.3789029543758,610.140192112482,601.3051626184905,606.3567361056955,700.0011645323257,1623.7244728783667,654.3197838731177,601.910535223177,612.9008932503417,612.7447276305157,3825.58795495202,602.5558962134127,608.8960723768087,632.8156397620995,610.7435425629716,633.6983106554686,601.7130903781996,767.422931986449,606.1850947086824,2115.1039302355885,596.9624543542303,606.696294318346,626.3014790732615,601.3470890582973,618.5974386997233,786.3358031030126,638.5372783168064,622.0441583104287,753.0543393957776,600.831694308424,603.6258747899353,891.3345064782947,761.9879358953882,617.7465556294017,642.479474891416,2263.685413390911,845.3381282627903,645.8850519089007,606.6456921604236,609.824215660624,611.0791747091982,606.2190526627126,606.6881753163585,604.1501880141125,946.6452466787509,612.8591123081412,870.15106581321,631.8708822862774,609.9494716749167,690.0992049770164,601.8850360182353,607.8927233644946,2586.5673350467905,603.9986735677285,615.2214239791216,632.1406548260691,609.2434221445003,611.6394172522546,960.2132722919893,605.2493765911905,640.0474517767509,603.7948167566899,617.6846840361915,602.4878776638493,600.1992231637349,1260.7550124820204,604.2919400318922,606.6354841214822,626.2879904576605,604.3158478847288,604.298404954728,630.2281056672405,606.3351557862765,600.5208351233606,607.434414848796,1850.3082604600656,604.7409377885883,599.2235459323572,606.1357075454109,601.7262689988787,605.9694966222245,602.2402031812693,607.2907148351165,608.3878888793138,749.912285112767,605.7200083516898,641.1626512167244,627.9651832287713,606.089645585928,737.7688516013349,607.594563145393,607.9639479873691,667.6456650102812,701.0479472595039,603.0606192799245,685.5222442459285,666.7364775144582,609.1899346779951,794.8524500545027,643.9020408854157,647.502955732334,951.6701091380231,613.315201675834,680.083834725771,671.852462015505,628.380599957603,1093.4089695068446,608.4495962821487,740.629442679284
4,-181.42752236672828,34654159.04205576,3456137.146276427,7116577.228373643,2017676.7454594774,37281477.57431773,18208298.574229814,33779698.01777664,16407920.170722317,1509268.079223814,436.8023486671894,1220.462448796112,602.8130907036799,610.0924991085727,604.7238681807574,609.2998885177188,605.9084341245373,603.4132873777279,607.5447090330933,612.0598961199325,617.3328074931416,608.8487175834811,607.8001585514485,612.4158042974001,605.5357991373927,640.8673187361333,611.4464895956232,615.451302514181,609.242023875276,721.7240231345139,603.3514454625589,625.0324482341222,601.9204665286348,602.1418231144138,603.8243208169769,606.3038976674063,601.5822772310739,604.0846992545511,604.3010850488782,622.6164494057836,605.5044397204334,603.7356201688257,603.674944628774,609.9624212253105,675.593002960716,631.2922608358415,605.7173720945946,608.6659427390962,610.0303128394534,628.690155804872,24082.565677664585,742146.6304275716,8898293.113771738,399.9575997907786,200.8499758285758,1669932.4894593633,64140.39316544131,1303754.2035275295,12202656.149408245,180330.95015995915,920.6917455142873,1780.9995857126225,385452.4709266456,1307631.957809196,16557735.565925421,1824067.8328254619,850872.855123693,381490.9527367574,1773.9805529779635,101.21710799593048,1792994.4863095495,16325082.014943985,9806538.306549693,401139.33811041573,600.7468777266166,605851.0383201686,1208.6271613337178,393568.13531495206,1187.343766497877,359954.2459550001,414970.0901608643,78420.78881885155,392.5163116050584,132471.09087128507,793.4711506264349,5125385.640978461,16631336.218712743,1963.7374802313427,1835.3327560690755,214.0360140501529,118.50118300866156,8.609870301148698,178.34049087008023,201.60806448453187,191.13909505398686,273.5003726243463,254.93517555559342,13.760961159798084,149.36689207356096,20.819437077891834,14.74956219204348,85.16871621927625,190.8604135293154,201.46072958672747,192.1244490761563,142.90386306784595,10.408857368126787,190.9220068827292,155.074137728327,270.9745280337051,185.71411001419324,225.16562446790607,225.8875038087696,16.44771257096403,14.558051037403548,191.3803171358914,210.76566523916705,163.08653240809357,185.7109019888503,13.14070425745044,11.466719770800454,195.03547497487523,209.49160397424745,250.77764353944417,181.83652250629856,195.56794005990338,606.8991705866133,1173.6348044885433,5164.902450210909,1846.3074344319152,623.8026825582884,682.7737521863398,628.5566851485835,604.991017660867,608.213480464618,738.4713831973935,624.7088584880454,639.6835769784954,633.1221895045993,667.8096767806254,606.781095922669,675.4690230819608,752.4805024500507,603.2320084369123,614.6848052340389,844.2385252737358,733.6554192742846,609.9884895756327,601.3011681089412,606.2860484466299,699.167944599158,1628.4613419671646,653.3252771682364,601.920692063681,612.5711224664718,612.4757697813069,3907.0509653257122,602.5361336653276,608.8304359723521,632.699452199091,610.6399395255504,633.2000153939649,601.6994674386847,765.3710053546567,606.1630946968506,2126.581447438613,597.4300531698452,606.6248428783589,626.3005701415991,601.3372824073736,618.2934594556982,783.2520549884512,638.1293033656218,621.8833755946007,752.0407563577442,600.8278695905758,603.5981866675734,888.0350587994416,760.6895876944534,617.5670175529935,641.9998966530494,2270.8497781225783,843.3613650450526,645.4965589651463,606.5500438522614,609.8638164187994,610.9800359422363,606.1738886033268,606.6187071299627,604.1321217985167,942.7785259885121,612.7873344846497,868.081847912071,631.6902771658057,611.8423509512517,689.0660815892658,601.900893133261,607.7720497354674,2585.627960370902,603.9786567656383,615.0288572037987,631.9661343681166,609.2134684213283,611.5148453902747,955.665689649603,605.2010019029805,639.7203137970189,603.7940275703647,617.6053667000119,602.4742282420129,600.1998645568457,1256.6925148809805,604.2566506542448,606.6150391382868,626.2878531696315,604.3203644213893,604.2867238096751,630.734592655662,606.302330688673,600.5121695441953,607.4275281178799,1845.0800670705203,604.7217881049111,599.2087083109495,606.1141778575778,601.7259428273962,605.9313868385583,602.2311598116258,607.238805682531,608.4781866036882,749.4054054452986,615.0474427189829,567.6580393325399,628.0079678344495,606.043412699788,741.1865343826934,607.534932486238,607.939808813891,667.0055195133341,701.6402273002233,603.0429974239985,685.3818289965764,665.9945523851172,609.1796733497043,793.408411460158,644.2531610570256,647.1679553002631,949.8985328761978,613.5008010292372,679.5888846567686,672.6890572475226,685.9496243334852,1103.003957403501,608.5519676849103,738.7843999281126
