,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
358,6014.211147746834,6653.915458968351,10534.143305661843,10938.847089127066,3384.5291892340238,4382.091959444177,25190.24656870603,3598.895354562713,31558.91267333931,23956.853084965613,8592.466306245678,11035.085325363194
359,5882.84663843913,6332.65945264494,9874.360334709865,10667.027908101722,3316.4645416492267,4288.592616200483,21935.117435699336,3403.7940147620957,30433.34810169614,26151.47935921329,8138.834022749858,10690.366024709563
360,5521.345403978701,6036.888785558507,9351.778577937932,10076.635163471843,3368.66608367603,4286.119536969813,18213.532719797335,3253.2295529559033,30045.40609572102,24689.42219238526,7709.406609559118,9777.272517354562
361,5342.474732854688,5863.127452434888,9091.560772696514,9996.6236715662,3327.4053343407427,4241.311147001878,17161.736343803208,3185.40592999366,29190.57758068221,22829.304669094487,7542.778070202608,9706.863099912956
362,4985.845224046993,5498.18387485087,8870.28886220118,9752.590630949851,3288.525284309225,4114.153847815377,16489.75267422298,2991.458939311625,28299.42490778056,22247.31326088528,7063.65659976587,9560.287131306459
363,4750.513224325239,5249.991413218524,8874.434690249505,9751.812512423618,3254.7472471125657,4130.561667992884,16017.682027890067,2863.482949352858,27758.92143878152,19849.222749443346,6715.828821742197,9547.67623740368
364,4387.772792218004,5269.795077076764,8951.862102023282,10175.563492037272,3407.6029453110946,4386.286246795076,15957.734628022823,2687.328683257561,28280.536345691886,17491.329071128916,6713.420842759907,9824.048350393692
365,4418.61351497342,5464.803464164533,9410.825123654664,10919.406128938632,3671.9846079617837,4623.05266928931,16155.5543881899,2636.2510535010247,31408.28849873474,15881.080009485846,7027.0134833182865,10457.63652458617
366,4888.104983217617,5801.35225644979,10996.846626198167,11585.458545214839,3979.0176905771764,4712.3163982708165,16638.137291030365,2998.342791429738,33986.81938489147,14202.78190463006,8013.4953075969115,11090.91646735154
367,5362.097618084391,5946.827993028572,11868.157233820633,11809.753184383006,4133.992037614894,4706.8786279679525,17871.826766155256,3388.1088445460546,34832.44577993835,15149.72835224253,8669.792314235596,11295.151023833954
368,5798.020142881711,6246.535922357083,12313.818328764693,12152.259431558818,4154.909968552254,4793.094421792651,23300.497535616898,3617.193321949989,34831.47713572868,17544.92607559494,9321.579043698484,11411.936949322642
369,5939.853478911093,6301.578813402925,12426.792580579431,12326.149404688293,4178.116993540719,4774.41184379053,27497.662764767138,3644.8443500570284,34267.72620569742,21439.55345759056,9512.724961416718,11371.661132309644
370,6020.344269819971,6349.3210450916395,12378.687543811791,12363.041734700051,4125.120628489887,4795.110286022818,25509.85150866354,3704.5443205404035,33795.512153480515,22463.71335090471,9586.982270252065,11283.490948954877
