,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
15,5030.97400005012,5206.211082534419,10083.398178992855,10069.84191714274,3473.305390152098,3965.9036950682435,25564.77395216693,3004.8218017061345,31384.556715597682,20845.056416517233,6840.5534904743345,9973.787634057546
16,5051.405643348844,5568.550849093452,10583.384941741253,10344.592245893778,3633.6198962355124,4064.441569569734,25417.274128654033,3107.301076875211,33339.765052828094,20600.74683339682,7659.497436006459,10035.046258682762
17,5234.327927701541,5809.77846474459,10534.803864865706,10290.242940246577,3837.3245443970486,4068.1393634981087,26171.02165684987,3281.34782026675,34745.267801067544,20366.196631632756,7755.143889285919,9995.58185144299
18,5622.993452869424,5945.223567416272,10455.033561742166,10263.343323349025,3809.888259700556,4168.567203305981,33296.49278363772,3393.3089466464294,34933.66909984947,20285.731651193353,8019.2226410978465,10011.614920931472
19,5742.78312505547,5732.979026903028,10474.025601155014,10058.640814060904,3668.8911868376354,4208.342921000692,36343.6659613732,3314.055771627388,34008.61387960917,21092.418710074286,7720.955905565612,9905.059078652626
20,5752.888556839759,5460.189271026507,10166.147772223638,9875.234589565584,3623.839922585361,4254.49960661275,35952.33225534263,3278.0008757467517,32724.67597968402,20116.194941729947,7393.232337106825,9788.797787733412
21,5669.374703869959,5688.476469194862,9426.698440932798,9585.85426343064,3675.3172419672883,4367.122569657861,27108.71851897218,3261.0111048351564,33732.55027985159,19886.24789741334,7037.659759093769,9596.666582359594
22,5917.258291425334,6315.050773043353,8850.320928249297,9604.758508643532,3585.91815130361,4665.976026210025,23890.275052713412,3479.9298583417744,34233.82365835877,20659.272951235907,7554.668235992204,9618.24890189626
23,5913.254268128854,6014.003214049874,8150.993919819125,9339.151022132035,3543.7302576952625,4664.884905573076,21832.197783878793,3396.2305259204154,34001.3490480366,24734.489774782505,7209.814325045918,9410.412500038898
24,7377.203967339849,5547.301092975322,8971.53018592536,11284.754866276146,3620.753985741896,4776.088709363991,19055.3660843099,3372.8964375806427,33737.877823004805,25129.366619178116,7477.135283159963,9675.683374334732
25,7207.829913541594,5389.2143210304785,8709.552956625099,11205.379361273193,3564.6794029136427,4732.11213924286,17428.45499620138,3296.910759440923,32959.08787842554,23792.459051148773,7300.038694999517,9603.417513531203
26,6854.151113364634,5024.712115606792,8459.127267088887,10952.656713605093,3513.670552672031,4599.71071242836,16595.52835654066,3096.413451348254,31965.743241403106,23398.645164356672,6797.337823184939,9458.66009275436
27,6593.616211556913,4760.285616695421,8391.355779679638,10787.60304847183,3348.380421148967,4597.617952908717,15984.303901143241,2959.601127814107,31315.782976710707,20991.799983591354,6375.863957949625,9426.415777909844
28,6151.315220881337,4667.649443825173,8326.750715782313,10673.018872202854,3263.3578124901537,4848.266678607858,15945.880046954733,2769.5986937638418,31656.26141641172,18568.402106021025,6155.651438163777,9605.261589468864
29,6047.631298055967,4620.646741348568,8589.972248377728,10801.734379046078,3151.8460533554953,5099.510688785444,16067.484612546185,2678.2575426880194,33903.51598285935,16882.291962986426,5952.48821811187,10298.744572933898
30,6421.990304874592,4782.497898352664,9770.605728000994,11139.957383891693,3236.1472350367744,5217.959957270191,16587.593750446165,2930.541626618303,35886.81500217036,14922.163189559547,6650.5736387268535,11156.46443966837
31,6893.141438468303,4940.196883782649,10468.34423028046,11359.992120814031,3398.061520551613,5239.536516640321,17802.41917415238,3222.532111893687,37268.10164516792,14858.51972212284,7283.593318525323,11368.941175998774
32,7349.369574913603,5287.420826826436,10863.408754163911,11759.663543996352,3444.4839028130255,5352.166720142807,23199.76664051206,3468.220923581768,38072.07633919875,15708.396981449707,8038.993597395863,11400.4647748058
33,7498.70135102836,5401.835505306027,11097.566013012187,12033.80823732993,3450.1212762130313,5353.676236145453,27427.191312590403,3534.114978271303,38351.53019369019,18556.30228617099,8296.040867172822,11348.535349331722
34,7582.706737340302,5509.899060828278,11167.313561730212,12173.42840309892,3614.212719808094,5371.303565526768,25392.157615445587,3593.068822687431,38467.76749885127,19956.028828611237,8474.99731481015,11254.61551717766
35,7633.232744903721,5504.711983359632,11295.027420609033,12199.26346613143,3554.7249980971646,5373.781350092544,27031.507570253092,3567.847990942032,38661.49634078642,21411.779236709433,8401.29871403228,11155.95957090639
36,7600.325536582647,5469.953999703327,11405.358638649159,12204.93107498663,3559.2109295225,5360.308855249061,34791.57008802726,3511.0484607644144,38134.069568618,22059.10835350527,8405.866530568675,11112.084122049104
37,7479.453956735378,5421.541981838475,11531.697241978793,12242.300082543512,3522.313769099577,5363.33817288631,31338.72328976633,3499.333312367365,37535.44744703841,22477.493214702976,8372.862460199625,11124.323678442624
38,7334.168068079664,5249.811757662471,11391.813716012519,12300.085835778138,3522.029199172545,5313.916385270863,23862.913795647917,3371.1381642406827,36883.54989392666,22813.344116980406,8099.1505949652055,11092.187349506852
39,7329.73672985725,5311.892843807691,11339.520255045518,12538.172058713848,3633.601622822096,5342.671940718369,25630.270092830786,3346.6693789317997,37113.1185716198,21552.653816838116,8338.10453066079,11203.333346753168
40,7409.943564743053,5606.406387796418,11738.623167925462,12629.545880545216,3792.228943047512,5410.506544454443,25488.431055498346,3444.7236995761523,39054.76588991475,21653.651599268876,8896.556384754851,11225.18090738893
41,7661.228206845613,5720.884926595552,11679.434420883337,12452.899402141618,3983.906175643203,5406.663396795547,26185.634895729767,3681.3220467523015,40353.71777508988,22027.39721554435,8739.180687123426,11188.74923827534
42,7992.308949845212,5824.108201530327,11645.740315122737,12375.511481028494,3940.8657884057543,5437.819872228351,33320.006482337165,3794.4142965888987,39677.604116736235,23769.41594134229,8771.380796106794,11241.723595623895
43,7945.668990937351,5644.308445595174,11743.695416959932,12120.287522826979,3801.526450093163,5240.426387270332,36271.9285215825,3684.5250477356576,37865.27080043299,26638.574640560088,8402.399521756386,11134.772819166958
44,7813.3398982367125,5464.374903533317,11517.36729898504,11904.706159237196,3754.8178857319717,4987.11656315267,35834.847997784396,3593.4998251261013,36447.65999957259,26377.224559667597,8095.956828126004,10974.124595315508
45,7635.603843856625,5588.999379353164,10810.362991173426,11601.177590093004,3794.4068828352806,4816.548573505658,27087.67582424589,3512.2520638713236,37376.105474546755,25338.338301554486,7737.787989330539,10662.977409603476
