name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
28,eGon2035,4,71492,central_heat_pump,0.9235386581460092,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9235386581460092,DE,inf,False,,,,,,1.0,1.0
29,eGon2035,4,71492,central_resistive_heater,0.1817257089475568,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1817257089475568,DE,inf,False,,,,,,1.0,1.0
30,eGon2035,4,71494,central_heat_pump,12.866775552653566,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.866775552653566,DE,inf,False,,,,,,1.0,1.0
31,eGon2035,4,71494,central_resistive_heater,13.633331468492786,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.633331468492786,DE,inf,False,,,,,,1.0,1.0
32,eGon2035,4,71497,central_heat_pump,0.2231190763016191,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2231190763016191,DE,inf,False,,,,,,1.0,1.0
33,eGon2035,4,71497,central_resistive_heater,1.0597097844561931,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0597097844561931,DE,inf,False,,,,,,1.0,1.0
34,eGon2035,4,41240,dsm,236.29460368017286,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,236.29460368017286,DE,inf,False,,,,,,1.0,1.0
35,eGon2035,4,50041,central_heat_pump,0.10482599454692235,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.10482599454692235,DE,inf,False,,,,,,1.0,1.0
36,eGon2035,4,50041,central_resistive_heater,0.016119668802340916,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.016119668802340916,DE,inf,False,,,,,,1.0,1.0
37,eGon2035,4,52040,rural_heat_pump,1767.225836017247,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1767.225836017247,DE,inf,False,,,,,,1.0,1.0
38,eGon2035,4,69914,BEV_charger,3294.0636796951294,False,inf,0.0,0.0,0.9000000000000001,0.0,0.0,1.0,0.0,3294.0636796951294,DE,inf,False,,,,,,1.0,1.0
39,eGon2035,4,71381,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,158.72642884939987,DE,31.0,False,,,,,,1.0,1.0
40,eGon2035,4,71383,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,86.56572862663725,DE,31.0,False,,,,,,1.0,1.0
41,eGon2035,4,71409,power_to_H2,0.0,True,inf,1372.6909325666213,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,175.85770450312157,DE,31.0,False,,,,,,1.0,1.0
42,eGon2035,4,71414,central_heat_pump,4.172333053867194,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.172333053867194,DE,inf,False,,,,,,1.0,1.0
43,eGon2035,4,71414,central_resistive_heater,0.8131803665379423,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8131803665379423,DE,inf,False,,,,,,1.0,1.0
