,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,3407.56502975,963.545317721,7311.345470921908,8367.99048089,381.089387581,2155.73185516,1672.23226353,1931.95498389,11093.0465151,2430.1834002,2097.42864262,42863.8879242,18558.8140464,3148.64286896,51931.66964207166,10798.0894416,24642.885382229677,19400.49167622648,6557.84496183
1,3407.56502975,963.545317721,7311.345470921908,8367.99048089,381.089387581,2155.73185516,1672.23226353,1931.95498389,11093.0465151,2430.1834002,2097.42864262,42863.8879242,18558.8140464,3148.64286896,42806.773625007205,10798.0894416,19591.83261285936,14777.070720552962,6557.84496183
2,3407.56502975,963.545317721,7311.345470921908,8367.99048089,381.089387581,3301.521626210394,1672.23226353,1931.95498389,11093.0465151,2430.1834002,2097.42864262,46032.59475127269,18558.8140464,3148.64286896,37570.09383237939,10798.0894416,14540.779843489046,11381.420270793322,6557.84496183
3,3407.56502975,963.545317721,5933.507490605907,8367.99048089,993.461823276625,4447.359817172395,1672.23226353,1931.95498389,11093.0465151,3740.175452370494,2097.42864262,51759.58241425003,18558.8140464,3148.64286896,37344.970126708715,10798.089441599994,11763.624868472503,11381.420270793322,6557.84496183
4,5139.427713060828,963.545317721,5933.507490605907,8367.99048089,1605.83425897225,5593.198008134395,1672.23226353,1931.95498389,11093.0465151,5050.167504540988,2692.9076891308587,51759.58241425003,24426.309362117354,3148.64286896,37752.902031907724,10798.089441599994,11763.624868472503,12127.966292907833,6557.84496183
5,5139.427713060828,963.545317721,5933.507490605907,8367.99048089,2218.206694667875,6739.036199096396,1672.23226353,1931.95498389,11093.0465151,5050.167504540988,2692.9076891308587,60527.46806498495,30293.80467783471,3148.64286896,38218.936083298686,10800.0,16612.635527065035,12779.046894995245,8146.663342931918
6,5139.427713060828,963.545317721,5933.507490605907,8367.99048089,2218.206694667875,7884.874390058396,1672.23226353,1931.95498389,11093.0465151,5050.167504540988,3288.386735641717,62213.74390232473,36161.299993552064,3148.64286896,38174.532398451476,10800.0,21461.646185657566,16246.612611746381,9057.565969928748
7,6871.290396371656,1223.3529388562,5933.507490605907,8367.990480890003,2218.206694667875,7938.599856,1672.23226353,2958.0060416027877,14547.621850794378,5050.167504540988,3288.386735641717,62213.74390232473,36161.299993552064,3148.64286896,36464.040014428145,10800.0,26310.656844250097,19714.178328497517,9057.565969928748
8,6871.290396371656,1223.3529388562,5933.507490605907,8367.990480890003,2218.206694667875,7938.599856,1672.23226353,2958.0060416027877,14547.621850794378,5050.167504540988,3288.386735641717,62213.74390232473,36161.299993552064,3148.64286896,31597.886551940854,10800.0,29690.395749428317,23181.74404524865,9057.565969928748
9,7467.894376039435,1483.1605599913999,4555.669510289907,8367.990480890003,2218.206694667875,7938.599856,1672.23226353,3984.057099315575,14547.621850794378,5050.167504540988,3288.386735641717,62213.74390232473,36161.299993552064,3148.64286896,28516.489995503794,10800.0,29694.0046772,24024.0,10511.85640635861
10,8873.587013389171,1742.9681811265998,3177.8315299739065,8367.990480890003,2604.046236388609,7938.599856,1672.23226353,5010.108157028363,18002.197186488753,5050.167504540988,3288.386735641717,62213.74390232473,40651.2,3148.64286896,26739.874263614962,10800.0,26771.738037306153,24024.0,8727.085549433983
11,10605.4496967,1742.9681811265998,1799.9935496579064,8367.990480890003,3137.627564304375,7938.599856,1672.23226353,6036.159214741151,20479.424664305625,6360.159556711483,3288.386735641717,73315.10724141051,40651.2,3148.64286896,26381.396058335744,10800.0,26752.6832252073,19400.57904432648,7187.83104065576
12,10605.4496967,1742.9681811265998,2864.215674803255,8367.990480890003,3750.0,7938.599856,1672.23226353,6036.159214741151,23934.0,6360.159556711483,3288.386735641717,74123.01197738267,40651.2,3148.64286896,28949.438129403738,10800.0,26422.934439074783,14777.158088652963,7187.83104065576
13,10605.4496967,1742.9681811265998,4186.940135905805,8367.990480890003,3750.0,7938.599856,1672.23226353,6036.159214741151,23934.0,7670.151608881977,3530.120807089141,90584.05073377886,40651.2,3928.354070835891,33725.347602239744,10800.0,21647.279188904602,14777.158088652963,9171.941733340891
14,10605.4496967,1800.0,4186.940135905805,8367.990480890003,3750.0,7938.599856,1672.23226353,6283.2538536,23934.0,8022.0302373,3530.120807089141,100802.863973,40651.2,3928.354070835891,40462.2795634348,10800.0,16596.226419534287,14369.124941777995,11156.052426026023
15,10605.4496967,1800.0,4186.940135905805,8367.990480890003,3750.0,7938.599856,1672.23226353,6283.2538536,23934.0,8022.0302373,4125.5998536,100802.863973,40651.2,5095.463444982906,43961.24152897046,10800.0,16596.226419534287,11467.61866276509,12150.1469757
16,8801.426068250115,1800.0,2809.102155589805,8367.990480890003,3112.11204615,7760.773224430129,1860.3639006460098,6283.2538536,23934.0,6657.4551829549,4125.5998536,100802.863973,40651.2,6262.572819129921,38389.942518200296,10800.0,16379.185916695676,6844.19770709157,10083.365004151723
17,8801.426068250115,1800.0,2809.102155589805,8367.990480890003,3112.11204615,7760.773224430129,1860.3639006460098,6283.2538536,23934.0,6657.4551829549,4125.5998536,100802.863973,40651.2,7147.0561017,38389.942518200296,10800.0,12367.398011446357,6844.19770709157,10083.365004151723
