name,scn_name,bus,carrier,e_nom,e_nom_max,e_initial,capital_cost,e_nom_opt
72706 central_heat_store,eGon2035,72706,central_heat_store,688.4711391688626,inf,400.528771667834,0.8423579405387989,688.4711391688626
72707 central_heat_store,eGon2035,72707,central_heat_store,685.2374654943277,inf,346.6679412862719,0.842357940538799,685.2374654943277
72708 central_heat_store,eGon2035,72708,central_heat_store,585.9379145059163,inf,328.940925246011,0.8423579405387989,585.9379145059163
72709 central_heat_store,eGon2035,72709,central_heat_store,790.5877965346766,inf,502.5612515072567,0.8423579405387989,790.5877965346766
72710 central_heat_store,eGon2035,72710,central_heat_store,651.0986764173977,inf,363.25587865548846,0.8423579405387989,651.0986764173977
72711 central_heat_store,eGon2035,72711,central_heat_store,576.8676166143346,inf,288.8576881479934,0.8423579405387989,576.8676166143346
72712 central_heat_store,eGon2035,72712,central_heat_store,624.2051479366226,inf,339.4680008797649,0.8423579405387989,624.2051479366226
72713 central_heat_store,eGon2035,72713,central_heat_store,617.474419590869,inf,330.1093582430559,0.8423579405387989,617.474419590869
72714 central_heat_store,eGon2035,72714,central_heat_store,692.8039204103651,inf,408.65242495296894,0.8423579405387989,692.8039204103651
72715 central_heat_store,eGon2035,72715,central_heat_store,582.4619209657001,inf,294.97507906292805,0.8423579405387989,582.4619209657001
72716 central_heat_store,eGon2035,72716,central_heat_store,594.7609974541487,inf,284.8856149633419,0.8423579405387989,594.7609974541487
72717 central_heat_store,eGon2035,72717,central_heat_store,650.0087895390145,inf,362.13346127597845,0.8423579405387989,650.0087895390145
72718 central_heat_store,eGon2035,72718,central_heat_store,6127.601946120034,inf,3840.3363237056187,0.8423579405387989,6127.601946120034
72719 central_heat_store,eGon2035,72719,central_heat_store,559.0608006582592,inf,271.27999854538785,0.842357940538799,559.0608006582592
72720 central_heat_store,eGon2035,72720,central_heat_store,568.7074866289635,inf,280.8347884109389,0.8423579405387989,568.7074866289635
72721 central_heat_store,eGon2035,72721,central_heat_store,904.3589945749018,inf,641.7505891128784,0.8423579405387989,904.3589945749018
72722 central_heat_store,eGon2035,72722,central_heat_store,601.6078808603811,inf,317.67459523455756,0.8423579405387989,601.6078808603811
72723 central_heat_store,eGon2035,72723,central_heat_store,578.439887284077,inf,290.81016154342694,0.8423579405387989,578.439887284077
72724 central_heat_store,eGon2035,72724,central_heat_store,627.6700903225022,inf,339.79512517252783,0.8423579405387989,627.6700903225022
72725 central_heat_store,eGon2035,72725,central_heat_store,604.2990780579552,inf,344.7767430443095,0.8423579405387989,604.2990780579552
72726 central_heat_store,eGon2035,72726,central_heat_store,576.9045031206028,inf,290.7918652785166,0.842357940538799,576.9045031206028
72727 central_heat_store,eGon2035,72727,central_heat_store,788.7620208963156,inf,500.9740329870164,0.8423579405387989,788.7620208963156
72728 central_heat_store,eGon2035,72728,central_heat_store,1040.2871258471394,inf,770.0599449619534,0.8423579405387989,1040.2871258471394
72729 central_heat_store,eGon2035,72729,central_heat_store,559.1352693023437,inf,271.88551937456623,0.842357940538799,559.1352693023437
72730 central_heat_store,eGon2035,72730,central_heat_store,815.4703174948878,inf,527.8503230229528,0.842357940538799,815.4703174948878
72731 central_heat_store,eGon2035,72731,central_heat_store,576.5362789931012,inf,288.5953113955918,0.8423579405387989,576.5362789931012
72732 central_heat_store,eGon2035,72732,central_heat_store,576.008426216373,inf,287.6847214649909,0.8423579405387989,576.008426216373
72733 central_heat_store,eGon2035,72733,central_heat_store,628.0357746949647,inf,342.8735414666886,0.8423579405387989,628.0357746949647
72734 central_heat_store,eGon2035,72734,central_heat_store,710.2186609303338,inf,422.88605983006437,0.8423579405387989,710.2186609303338
72735 central_heat_store,eGon2035,72735,central_heat_store,603.8145577212971,inf,322.96403199683857,0.8423579405387989,603.8145577212971
72736 central_heat_store,eGon2035,72736,central_heat_store,574.872420755338,inf,287.024149121805,0.8423579405387989,574.872420755338
72737 central_heat_store,eGon2035,72737,central_heat_store,897.0410882890666,inf,596.2286572590376,0.842357940538799,897.0410882890666
72738 central_heat_store,eGon2035,72738,central_heat_store,652.3252805593999,inf,378.79262069689867,0.8423579405387989,652.3252805593999
72739 central_heat_store,eGon2035,72739,central_heat_store,623.2227553179634,inf,370.67554856513624,0.8423579405387989,623.2227553179634
72740 central_heat_store,eGon2035,72740,central_heat_store,600.3589012920912,inf,370.113133660726,0.8423579405387989,600.3589012920912
72741 central_heat_store,eGon2035,72741,central_heat_store,664.2049458339181,inf,337.56365894030205,0.8423579405387989,664.2049458339181
72742 central_heat_store,eGon2035,72742,central_heat_store,620.6595369807117,inf,333.3588155432028,0.842357940538799,620.6595369807117
72743 central_heat_store,eGon2035,72743,central_heat_store,613.839773511799,inf,313.56155355301485,0.8423579405387989,613.839773511799
72744 central_heat_store,eGon2035,72744,central_heat_store,559.0201621880789,inf,271.2729929277873,0.842357940538799,559.0201621880789
72745 central_heat_store,eGon2035,72745,central_heat_store,646.268388765269,inf,363.1815145680516,0.8423579405387989,646.268388765269
72746 central_heat_store,eGon2035,72746,central_heat_store,595.9873413948875,inf,307.7668659654256,0.8423579405387989,595.9873413948875
72747 central_heat_store,eGon2035,72747,central_heat_store,791.7548339864097,inf,503.9545031084677,0.8423579405387989,791.7548339864097
72748 central_heat_store,eGon2035,72748,central_heat_store,619.6848008271367,inf,331.82258261433446,0.8423579405387988,619.6848008271367
72749 central_heat_store,eGon2035,72749,central_heat_store,558.9833023993566,inf,271.0547230778068,0.8423579405387989,558.9833023993566
72750 central_heat_store,eGon2035,72750,central_heat_store,981.3692380585479,inf,692.08635474755,0.8423579405387988,981.3692380585479
72751 central_heat_store,eGon2035,72751,central_heat_store,795.2125189878933,inf,500.63864822220955,0.8423579405387989,795.2125189878933
72752 central_heat_store,eGon2035,72752,central_heat_store,829.5477553410742,inf,542.1341493367461,0.842357940538799,829.5477553410742
72753 central_heat_store,eGon2035,72753,central_heat_store,559.3714127377027,inf,280.43002283149696,0.8423579405387989,559.3714127377027
72754 central_heat_store,eGon2035,72754,central_heat_store,558.9892798247378,inf,271.71718925664226,0.842357940538799,558.9892798247378
72755 central_heat_store,eGon2035,72755,central_heat_store,626.9384260996857,inf,338.97765081552643,0.8423579405387989,626.9384260996857
72756 central_heat_store,eGon2035,72756,central_heat_store,1023.2152132730422,inf,465.66499957558693,0.842357940538799,1023.2152132730422
