,41276 dsm,48639 CH4,48640 CH4,48642 CH4,48643 CH4,48644 CH4,48645 CH4,48647 CH4,48649 CH4,48650 CH4,48653 H2_underground,63652 central_heat_store,63680 central_heat_store,63927 central_heat_store,64019 central_heat_store,64020 central_heat_store,64068 central_heat_store,64255 central_heat_store,64407 central_heat_store,64409 central_heat_store,64544 central_heat_store,64891 central_heat_store,65001 central_heat_store,65115 central_heat_store,65148 central_heat_store,65177 central_heat_store,65233 central_heat_store,65389 central_heat_store,65431 central_heat_store,65446 central_heat_store,65454 central_heat_store,65455 central_heat_store,65459 central_heat_store,65466 central_heat_store,65491 central_heat_store,65507 central_heat_store,65516 central_heat_store,65517 central_heat_store,65518 central_heat_store,65736 central_heat_store,65764 central_heat_store,65769 central_heat_store,65859 central_heat_store,65863 central_heat_store,65883 central_heat_store,65952 central_heat_store,65962 central_heat_store,65985 central_heat_store,65998 central_heat_store,66014 central_heat_store,66056 central_heat_store,66067 rural_heat_store,69914 battery_storage,72442 CH4,72443 CH4,72444 CH4,72445 CH4,72446 CH4,72447 CH4,72448 CH4,72449 CH4,72450 CH4,72451 CH4,72452 CH4,72453 CH4,72454 CH4,72455 CH4,72456 CH4,72457 CH4,72458 CH4,72459 CH4,72460 CH4,72461 CH4,72462 CH4,72463 CH4,72464 CH4,72465 CH4,72466 CH4,72467 CH4,72468 CH4,72469 CH4,72470 CH4,72471 CH4,72472 CH4,72473 CH4,72474 CH4,72475 CH4,72476 CH4,72477 CH4,72478 CH4,72492 H2_overground,72493 H2_overground,72494 H2_overground,72495 H2_overground,72496 H2_overground,72497 H2_overground,72498 H2_overground,72499 H2_overground,72500 H2_overground,72501 H2_overground,72502 H2_overground,72503 H2_overground,72504 H2_overground,72505 H2_overground,72506 H2_overground,72507 H2_overground,72508 H2_overground,72509 H2_overground,72510 H2_overground,72511 H2_overground,72512 H2_overground,72513 H2_overground,72514 H2_overground,72515 H2_overground,72516 H2_overground,72517 H2_overground,72518 H2_overground,72519 H2_overground,72520 H2_overground,72521 H2_overground,72522 H2_overground,72523 H2_overground,72524 H2_overground,72525 H2_overground,72526 H2_overground,72527 H2_overground,72528 H2_overground,72698 central_heat_store,72699 central_heat_store,72700 central_heat_store,72701 central_heat_store,72702 central_heat_store,72703 central_heat_store,72704 central_heat_store,72705 central_heat_store,72706 central_heat_store,72707 central_heat_store,72708 central_heat_store,72709 central_heat_store,72710 central_heat_store,72711 central_heat_store,72712 central_heat_store,72713 central_heat_store,72714 central_heat_store,72715 central_heat_store,72716 central_heat_store,72717 central_heat_store,72718 central_heat_store,72719 central_heat_store,72720 central_heat_store,72721 central_heat_store,72722 central_heat_store,72723 central_heat_store,72724 central_heat_store,72725 central_heat_store,72726 central_heat_store,72727 central_heat_store,72728 central_heat_store,72729 central_heat_store,72730 central_heat_store,72731 central_heat_store,72732 central_heat_store,72733 central_heat_store,72734 central_heat_store,72735 central_heat_store,72736 central_heat_store,72737 central_heat_store,72738 central_heat_store,72739 central_heat_store,72740 central_heat_store,72741 central_heat_store,72742 central_heat_store,72743 central_heat_store,72744 central_heat_store,72745 central_heat_store,72746 central_heat_store,72747 central_heat_store,72748 central_heat_store,72749 central_heat_store,72750 central_heat_store,72751 central_heat_store,72752 central_heat_store,72753 central_heat_store,72754 central_heat_store,72755 central_heat_store,72756 central_heat_store,72757 central_heat_store,72758 central_heat_store,72759 central_heat_store,72760 central_heat_store,72761 central_heat_store,72762 central_heat_store,72763 central_heat_store,72764 central_heat_store,72765 central_heat_store,72766 central_heat_store,72767 central_heat_store,72768 central_heat_store,72769 central_heat_store,72770 central_heat_store,72771 central_heat_store,72772 central_heat_store,72773 central_heat_store,72774 central_heat_store,72775 central_heat_store,72776 central_heat_store,72777 central_heat_store,72778 central_heat_store,72779 central_heat_store,72780 central_heat_store,72781 central_heat_store,72782 central_heat_store,72783 central_heat_store,72784 central_heat_store,72785 central_heat_store,72786 central_heat_store,72787 central_heat_store,72788 central_heat_store,72789 central_heat_store,72790 central_heat_store,72791 central_heat_store,72792 central_heat_store,72793 central_heat_store,72794 central_heat_store,72795 central_heat_store,72796 central_heat_store,72797 central_heat_store,72798 central_heat_store,72799 central_heat_store,72800 central_heat_store,72801 central_heat_store,72802 central_heat_store,72803 central_heat_store,72804 central_heat_store,72805 central_heat_store,72806 central_heat_store,72807 central_heat_store,72808 central_heat_store,72809 central_heat_store,72810 central_heat_store,72811 central_heat_store,72812 central_heat_store,72813 central_heat_store,72814 central_heat_store,72815 central_heat_store,72816 central_heat_store,72817 central_heat_store,72818 central_heat_store,72819 central_heat_store,72820 central_heat_store,72821 central_heat_store,72822 central_heat_store,72823 central_heat_store,72824 central_heat_store,72825 central_heat_store,72826 central_heat_store
0,1225.4847771621944,-3533777.7025734857,-830034.7444517189,-8555789.020265464,1778762.55607,-13334426.005141474,14412431.333508532,-1976023.8614440486,-4648800.748250892,413877.3374107301,-17.550426546946994,1.3671567612694844,0.0,0.0,0.565818833500316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6180338289908605,0.0,0.5130387374089764,0.0,0.0,0.0,0.0,0.0,0.0,0.3500522294805819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2524156916765037,0.0,0.0,-0.9470139832598647,0.05944585344030884,-0.013629749680433179,0.0,0.0,0.5895848292124697,0.0,-1095.9487867730204,1153478.15915,2840.13372944,1063.27954969,5189093.32063,674315.831,118778.289854,-447327.93141599995,-492653.419977,146655.501015,1980.24362633,-1664360.82454,-14439424.376059659,10158536.043226032,1757.94368472,97.8749159497,6014410.78901661,363754.73962,10099216.4719,57358.1023109,-10465271.09345083,1778715.316,1853113.26937,277.500133193,-618.8303324819999,-545.1349836479999,-462409.35749100003,202.124080391,1304.43463361,393.047963349,-109.58283329416292,977.518033691,-1382266.55553,8919339.758155767,-1018613.5006769999,388131.776632,-1461.7678640599997,662.648849442,-23.22435170798235,-192.33338521562837,-40.81326980451968,-66.16869250283162,-68.60669440570018,-36.63658672415113,-40.05723930869999,-218.07103258718053,6.47244645842,-21.489000906080037,2.009729053236099,-38.93187128802674,-79.3367206725552,-20.693685626670003,1.3516801406269918,-56.30337592211981,-77.5620149351007,-141.19099130182803,7.42646679488,-11.542286603190973,-36.450612419123445,-160.94750591398952,-5.701629890739298,-66.74900770725435,-17.085367997009826,-3.254009282524322,-2.0027917125402004,-34.47610320130798,-4.3148685740529995,5.06358076567,-13.122304050399862,-84.22496962790501,-160.15701584129783,-15.887097705543283,8.67952675531,-12.87452702501,-41.10071478459713,0.0,0.0,-0.6534151540519133,0.0,-9.002544893404945,-4.576638712560168,0.0,0.0,0.0,-11.915425705958114,0.9339262098794734,0.0,-7.467156143827594,0.0,0.46322712001682476,0.0,8.139768645964296,0.0,8.838011527821436,0.0,-120.49419781745564,0.0,0.0,2.048799785346773,0.4687939231731093,0.0,0.0,1.0307018693108603,0.372361937632661,0.0,0.5841735715039249,0.0,0.0,0.0,0.0,1.7419801839213278,0.0,0.5470290762935406,0.0,-12.77387566045843,0.8058661041982305,-3.398573587973317,2.335722028688565,5.7243099919099905,0.0,0.5316832123076551,0.0,-0.44499312016364456,0.0,0.0,0.0,0.0,0.0,0.42780056417211654,-0.8995827643362873,0.4806469225357546,0.0,0.0,-32.48430618178509,0.0,0.0,0.0,6.4766182384599915,0.0,0.3699418816868274,0.0,0.0,-1.5226411197396033,0.3449120370439118,-1.3770658088658365,0.0,0.0,0.5369485151544495,0.0,0.0,0.38759757821082985,0.5076346391217044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.906522420821318,0.0,0.0,5.513835600476227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.7604200525675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142781636774089,0.0,-0.8729163850419468,0.0,5.63020731135714,0.0,-0.8965898370744867,-1.874907638796799,0.4379048305183346,0.0,0.0,0.16397604020329482,0.44414646905698874,-15.746015014432714,-2.5978388492652584,0.0,0.0,0.0,-4.087004922165988,1.176341081621274
1,524.8087833478055,-2835461.4984765,-3661942.446268281,3577917.988587152,0.0,-11268266.638221022,2368276.089037492,14174639.9067331,-3106994.93214804,786039.63195927,-17.550426546947108,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.0,0.0,0.0,0.0,0.13294864062500006,0.0,0.0,0.0,0.5563965440833272,0.0,0.0,0.9478896332821591,0.0,0.0,-0.254533260707086,0.0,0.0,-1.006091148458088,-0.10653491151550351,-0.006572360557895995,0.0,0.0,0.58958482921,0.0,-3427.126943227033,-2838463.14863,-8280.25477707,-2484.07643312,-12133404.0077,0.0,-265036.701405,0.0,0.0,0.0,0.0,364633.8131110058,32764240.92795966,-6561595.113128949,0.0,0.0,6833781.201483389,0.0,0.0,0.0,8655780.401304375,0.0,-4095938.75867,0.0,1242.03821656,0.0,851750.711565,0.0,0.0,-828.025477707,0.0,0.0,0.0,-23325910.51144577,0.0,0.0,0.0,-1449.04458599,-23.129463312082407,-200.14403377263443,-40.673296148819645,-69.01386664983238,-69.14392509170011,-37.221129905950875,-40.28790721330006,-218.49030111118918,-3.940211396117995,-21.40361051427999,5.784038960703901,-38.86882655992804,-80.4811383725555,-20.833345805969884,-2.169068363039398,-56.37795109311992,-77.43427966210038,-150.7584506038329,0.0,-11.864872423790985,-37.70040204582256,-168.6311033419879,3.3068618684486033,-66.79705286225453,-17.112577903109923,-3.2301337060243043,8.0034172749302,-34.369258081108,-4.539493409817,-1.0654606424384987,-13.556905740499815,-84.45565676690603,-161.633215755297,-15.857014618743278,-2.9489825528245017,0.0,-40.91490125979681,0.0,0.0,-1.6764520273080734,0.0,-9.42931205469199,-4.609874425802275,0.0,0.0,0.0,-12.175883794798324,0.93392620988,0.0,-7.452795780301415,4.272366942000019,0.463227120017,0.0,8.235376515714279,0.0,0.0,0.0,-126.0538232942572,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,-13.233434244192836,0.805866104198,-3.616221477779959,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,-0.4233261233568792,0.0,0.0,0.0,0.0,0.0,0.427800564172,-0.8612322100879055,0.480646922533,0.0,0.0,-36.17697282079848,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,-1.4936160511608136,0.344912037043,-1.2972175648812145,0.0,0.0,0.536948515156,0.0,112.21990195299998,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,4.558980408250022,0.0,6.764422116523804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.95665493513548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,-1.2102081073424316,0.0,0.0,0.0,-1.114170380849948,-1.8571934673837136,0.43790483052,0.0,2.0802932155833105,-0.020784571839042473,0.444146469057,-17.40748579242953,-2.654429747516566,0.0,0.0,0.0,-4.228488993270503,1.17634108162
2,-60.27680821999979,-2123450.3790203743,7796579.69707,7306668.464052338,0.0,-357071.68398343725,1917518.4977038996,-10889744.635707222,-2318310.1909587006,0.0,-17.55042654694705,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.16857970222383756,0.0,0.0,0.0,0.09835440720833316,0.0,0.0,0.0,0.13115813462741244,0.0,0.0,0.0,0.0,0.0,-0.43799060617862373,0.0,0.0,-1.0206860849372879,-0.2878533764195009,-0.01923841652577599,0.0,0.0,0.58958482921,0.0,-4494.123211000026,0.0,8280.25477707,0.0,0.0,-2101.1639765817636,0.0,0.0,868556.239201,0.0,-4140.12738854,-364633.8131110058,0.0,-7104657.375323046,-3726.1146496799997,0.0,-3263568.905348326,0.0,-3237201.3221713146,0.0,-5458046.948431257,-3851251.3704853063,0.0,0.0,-1242.03821656,0.0,-851750.711565,0.0,0.0,0.0,207.006369427,-2070.06369427,0.0,23072105.212783154,0.0,-852371.730674,0.0,0.0,-23.096213922882043,-191.9175949226301,-40.64135507332139,-65.25907803983137,-68.453451025699,-36.48111850725127,-40.04638991289994,-217.8222598791799,-2.9323232096179908,-21.419551446779906,-13.374761058314101,-38.84520979392664,-79.16536921955503,-20.593349194870143,-2.081177855839397,-56.07652917512041,-77.47268934809836,-140.51586440682877,-9.375929090614001,-11.514875622191084,-36.39636972832341,-160.37584725898705,-5.692575509739305,-65.29557320225558,-17.050563293010327,-3.238362602324287,-1.9606402289401994,-34.30350887590794,4.244534740817,1.0654606424384987,-13.042183157400359,-82.67524001190759,-156.2004028063002,-15.519770703843278,-14.781625725975497,21.4616060751,-40.85052500779693,0.0,0.0,-2.329218653206908,0.0,-10.96392251716054,-4.939399047168151,0.0,0.0,0.0,-12.721489224211268,0.93392620988,0.0,-7.71196015269436,0.0,0.463227120017,0.0,8.101332809511916,0.0,0.0,0.0,-130.46490912558875,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,-13.429944621848563,0.805866104198,-3.984580986232629,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,-0.4581136929450493,0.0,0.0,0.0,0.0,19.148535047999985,0.427800564172,-0.9149803235135323,0.480646922533,0.0,0.0,-38.822322736974,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,-1.5620644728612092,0.344912037043,-1.7611258228715434,0.0,0.0,0.536948515156,0.0,0.0,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,4.478578579142834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.83619471644352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,-1.3489014964279027,0.0,5.5395777262261845,0.0,-1.1743558174278423,-2.101926359300504,0.3721808126546046,0.0,0.0,-0.24541906925154433,0.26612698438295385,-18.961324333266273,-2.8125701242471304,0.0,0.0,0.0,-4.447524529966472,1.17634108162
3,-72.86728883,4920812.03928503,0.0,-8948381.93805207,0.0,-1577953.4713961184,-2196988.1477545993,4071462.1280167997,1245399.2730827997,-1121117.4977886798,-17.55042654694705,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.0,0.0,0.0,0.0,0.571292381746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539852616854,0.0,0.0,-0.7493722570640878,0.544409705703,0.0,0.0,0.0,0.58958482921,0.0,-4449.9826619999485,0.0,0.0,0.0,0.0,2101.1639765817636,0.0,0.0,0.0,-267398.767511,4140.12738854,2905679.89983,-29419876.286980458,20260057.308425963,3726.1146496799997,0.0,-103391.91421658685,-850508.673349,3237201.3221713146,-128089.648145,6491663.9208120555,-257781.78971296223,0.0,0.0,1242.03821656,0.0,851750.711565,0.0,-3519.10828025,0.0,0.0,2070.06369427,0.0,1228174.7113168468,0.0,0.0,0.0,1449.04458599,-22.760606603982524,-189.80714283763155,-40.16843807771966,-63.3681196098305,-67.9707645497001,-36.01100949275087,-39.9141312621,-216.8396880661785,-2.6788679035179968,-21.179697419180002,5.872403937703899,-38.41434855162652,-78.22034011855521,-20.339143823169934,-1.8760680268393992,-55.5134857551202,-77.1765414741003,-138.2692753678275,-0.5946666052719962,-11.356480499790905,-35.73852970732287,-158.29287781399034,0.0,-62.947872648254815,-16.90350789390982,-3.1838951212243103,-1.8294169519401993,-33.7879983997077,-4.244534740817,-1.0424117632384995,-12.844599484299806,-80.18492153290572,-149.82271833629784,-14.896943329443275,0.0,-7.7451847773106905,-40.29950144919712,0.0,0.0,0.0,0.0,2.8506031254755158,-0.2015799739866518,0.0,0.0,0.0,-6.833616166825607,0.93392620988,0.0,-4.980315196364188,0.0,0.463227120017,0.0,0.0,0.0,0.0,0.0,-83.03588023019074,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,-8.982409970506751,0.805866104198,-2.130714979186564,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,-0.09244201312494464,0.0,0.0,0.0,0.0,0.0,0.427800564172,-0.6523079545365817,0.480646922533,0.0,0.0,-14.379644811862931,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,-1.1364218152643843,0.344912037043,1.21600721963,0.0,0.0,0.536948515156,0.0,112.21990195299998,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.71081055955892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,0.521526581639,0.0,0.0,0.0,0.031450862657723164,-0.7812357309563153,0.43790483052,0.0,0.0,0.445516348995,0.444146469057,-5.983629289028075,-1.7157283496949962,0.0,0.0,0.0,-3.3235465057931606,1.17634108162
4,-72.68670898000005,8282456.158894431,0.0,13377337.120128043,0.0,5809248.132991165,-14313672.9422216,8495489.9512906,4450562.785936184,-1117753.47748185,-17.55042654694705,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.0,0.0,0.0,0.0,0.571292381746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539852616854,0.0,0.0,-0.6621921475664879,0.544409705703,0.0,0.0,0.0,0.58958482921,0.0,-5873.294394898522,480404.8990708175,0.0,2484.07643312,4982183.074155915,-1312109.88946,265036.701405,0.0,0.0,0.0,-4140.12738854,0.0,27131474.53837706,-28808664.01996484,0.0,0.0,3366960.819564913,850508.673349,-24212691.3115,128089.648145,4192259.6403527595,-81405.05540173175,0.0,0.0,0.0,0.0,0.0,-414.012738854,3519.10828025,828.025477707,0.0,0.0,0.0,-14049030.834602764,1700603.33396,852371.730674,0.0,0.0,-22.31207182918206,-199.13874058462898,-39.112007787220136,-67.21227610583173,-68.43417858169869,-36.29468582035133,-39.54467169600002,-216.06694368418175,-3.851751990717993,-20.79082664228008,6.0254669772039,-37.92917998492658,-78.88839336255478,-20.32705367386984,-1.7723970102394002,-54.65418244812008,-76.7749077781009,-150.79326590482924,-8.602061461514001,-11.592409482090943,-36.82681066602345,-167.32312980498682,5.1593536095393,-63.46180540425485,-16.844189097510025,-3.0915615477242966,-2.3155774784401997,-32.78526824270784,3.4309533017169986,-0.9916417919385001,-13.300745668700074,-81.06500018790575,-153.1326604772985,-14.919991971943318,0.0,-13.71642129778931,-39.14838770019696,0.0,0.0,0.0,0.0,6.930192458399972,2.42573365817,0.0,0.0,0.0,-3.6441757665812133,0.93392620988,0.0,-3.010827803480197,0.0,0.463227120017,0.0,6.931119581809526,0.0,0.0,0.0,-64.33396207961778,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,-8.057361750335303,0.805866104198,0.21018021271737553,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,0.2660215728432709,0.0,0.0,0.0,0.0,0.0,0.427800564172,-0.3072394288221858,0.480646922533,0.0,0.0,2.6711666982266706,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,-0.5748951872915882,0.344912037043,1.21600721963,0.0,0.0,0.536948515156,0.0,93.34546889399996,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,5.515297016809541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.99522265934456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,0.521526581639,0.0,0.0,0.0,0.522336519243,-0.0038425677752455087,0.43790483052,0.0,2.426990139440477,0.445516348995,0.444146469057,2.37362873907,-1.1500998323649712,0.0,0.0,0.0,-1.859213073245428,1.17634108162
5,-21.603506599999946,8283619.878082428,-7796579.69707,-7424000.33411387,-2795246.6654772395,4889586.7268143,1946689.1849576011,57326.89230465889,4739935.7610413,1678336.1410864699,-17.55042654694705,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.0,0.0,0.0,0.0,0.571292381746,0.0,0.0,0.0,0.7724727858678762,0.0,0.0,1.3344367002023887,0.0,0.0,0.539852616854,0.0,0.0,-0.4777068662588878,0.544409705703,0.0,0.0,0.0,0.58958482921,0.0,-2888.744856101387,-480404.8990708175,0.0,-2484.07643312,-4982183.074155915,0.0,-265036.701405,0.0,0.0,267398.7675110004,4140.12738854,-2905679.89983,2288401.748603398,-21823269.466635156,0.0,0.0,-10949422.048681345,-850508.673349,12974492.319638656,-128089.648145,4192721.458657816,4190438.2156,4095938.75867,-1242.03821656,-1242.03821656,0.0,-851750.711565,414.012738854,-3519.10828025,-828.0254777069786,0.0,0.0,0.0,14049030.834602764,-1700603.33396,-168775.40315556296,0.0,-1449.04458599,-21.10784336478264,-189.69314410263542,-36.89620048962024,-65.65960483883009,-66.62560102670068,-34.18066166885092,-39.14418213609997,-212.5361977031789,5.818296490407965,-19.804496265780017,-5.056340474797597,-36.66159456262676,-75.72913710055491,-19.47927082467004,-1.6771516061393985,-51.71335767112032,-75.73046947209968,-140.8214726868282,0.0,-10.820648395391004,-34.72223337352307,-157.16630456499115,-5.1593536095393,-66.7381789822548,-16.319384224709893,-2.872882857524303,-1.1668876746588008,-30.39615836810799,-3.4309533017169986,-0.8805581329384999,-12.323861175399998,-84.78432588990654,-162.3246084372986,-15.605249281843271,17.7306082788,11.597300334789313,-36.717831802197,0.0,0.0,0.0,0.0,6.930192458399972,2.42573365817,0.0,0.0,0.0,3.8581798156002947,0.93392620988,0.0,0.6955907579428526,0.0,0.463227120017,0.0,0.0,0.0,0.0,0.0,-21.797958650370674,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,-4.459465918368096,0.805866104198,2.1865482176609703,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,0.754656835669,0.0,0.0,0.0,0.0,0.0,0.427800564172,0.18397350731243023,0.480646922533,0.0,0.0,0.0,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,0.0,0.344912037043,1.21600721963,0.0,0.0,0.536948515156,0.0,112.21990195300003,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.1254491435584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,0.521526581639,0.0,7.62213142701188,0.0,0.522336519243,0.864505947171,0.43790483052,0.0,0.0,0.445516348995,0.444146469057,2.37362873907,-0.04245029848264462,0.0,0.0,0.0,-1.2711617435735434,1.17634108162
6,42.86201304999986,8282758.1936666295,0.0,-9134557.02968613,2755425.0329232994,-3605806.296205282,10326998.3935735,-7319784.905854601,3571842.82362685,-2708301.10182594,-17.55042654694705,1.36715676127,0.0,0.0,0.565818833499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61803382899,0.0,0.513038737408,0.0,0.0,0.0,0.0,0.0,0.0,0.571292381746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.539852616854,0.0,0.0,0.0,0.544409705703,0.0,0.0,0.0,0.58958482921,0.0,-6052.385136291799,0.0,0.0,2484.07643312,3939015.7123054815,3755.364598751301,0.0,849473.6415019999,0.0,-267398.7675110004,-4140.12738854,2905679.89983,-40086419.84519644,41720574.71085757,-3726.11464968,0.0,2611563.2569819763,850508.673349,8430484.767783789,128089.648145,1252488.6570434999,-4190438.2156,-4041945.023489481,1242.03821656,1242.03821656,1035.03184713,851750.711565,-414.012738854,0.0,0.0,0.0,-2070.0636942699994,2939358.87695,-19667336.020661544,0.0,168775.40315556296,0.0,1449.04458599,-20.663682192582655,-191.10823106762837,-35.99923973231853,-65.8187445338317,-66.39517750870255,-33.859233368651076,-38.9514351943003,-211.03724518818126,-2.892170660817996,-19.432359485879942,6.5332306182039,-36.025885408626436,-74.89488799655464,-19.25745617696998,0.0,-50.84613397211797,-75.33277734810054,-143.63816184082862,18.5726571574,-10.740131965891123,-34.71947194072345,-158.18788672598748,0.0,-65.6542886682555,-16.16768899910994,-2.8052847045243254,-1.7976968078402003,-29.520803664108826,11.809201969031001,2.9146116881154995,-12.286488604399437,-83.87282778990448,-160.25615761429435,-15.307240599243187,-3.347369418524506,-11.597300334789313,-35.783205775197075,0.0,0.0,18.796850815700054,0.0,6.930192458399972,2.42573365817,0.0,0.0,0.0,5.524063472520027,0.93392620988,0.0,7.281500694830072,0.0,0.463227120017,0.0,0.0,0.0,0.0,0.0,206.99829081499956,0.0,0.0,2.04879978535,0.468793923175,0.0,0.0,1.03070186931,0.372361937631,0.0,0.58417357151,0.0,0.0,0.0,0.0,1.74198018392,0.0,0.547029076294,0.0,23.830170909699973,0.805866104198,3.379864007190065,2.33572202869,5.7243099919099905,0.0,0.531683212308,0.0,0.754656835669,0.0,0.0,0.0,0.0,0.0,0.427800564172,-0.12465766697505387,0.480646922533,0.0,0.0,102.36580479500003,0.0,0.0,0.0,6.4766182384599915,0.0,0.369941881687,0.0,0.0,0.0,0.344912037043,1.21600721963,0.0,0.0,0.536948515156,0.0,0.0,0.387597578209,0.507634639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90652242082,1.5739777575118978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8506422516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414278163675,0.0,0.521526581639,0.0,0.0,0.0,0.522336519243,0.864505947171,0.43790483052,0.0,3.6589808996190527,0.445516348995,0.444146469057,2.37362873907,0.834318097051,0.0,0.0,0.0,0.0,1.17634108162
