name,scn_name,bus,carrier,p_nom,p_nom_min,p_max_pu,capital_cost,state_of_charge_initial,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
0 battery,eGon2035,0,battery,1767.57494945,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,1767.57494945
0 pumped_hydro,eGon2035,0,pumped_hydro,300.0,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,300.0
1 battery,eGon2035,1,battery,1350.0,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,1350.0
1 pumped_hydro,eGon2035,1,pumped_hydro,1395.0,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,1395.0
10 battery,eGon2035,10,battery,625.0,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,625.0
10 pumped_hydro,eGon2035,10,pumped_hydro,1323.099976,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,1323.099976
11 battery,eGon2035,11,battery,2623.0080286700004,0.0,0.9999999999999998,0.0,0.0,5.999999999999998,0.9797958971132712,0.9797958971132712,,2623.0080286700004
2 battery,eGon2035,2,battery,1047.2089756,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,1047.2089756
2 pumped_hydro,eGon2035,2,pumped_hydro,3989.0,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,3989.0
3 battery,eGon2035,3,battery,1337.0050395500002,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,1337.0050395500002
3 pumped_hydro,eGon2035,3,pumped_hydro,687.5999756,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,687.5999756
4 battery,eGon2035,4,battery,16805.476192156064,16800.0,0.9999999999999999,3696.556307552409,0.0,6.0,0.9797958971132713,0.9797958971132713,,16805.476192156064
4 pumped_hydro,eGon2035,4,pumped_hydro,6775.2,0.0,1.0,0.0,0.0,6.000000000000001,0.8660254037844386,0.8660254037844386,,6775.2
5 battery,eGon2035,5,battery,1191.17601695,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,1191.17601695
6 battery,eGon2035,6,battery,10432.467792820002,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,10432.467792820002
6 pumped_hydro,eGon2035,6,pumped_hydro,1800.0,0.0,1.0,0.0,0.0,6.0,0.8660254037844386,0.8660254037844386,,1800.0
7 battery,eGon2035,7,battery,4949.000779534999,0.0,1.0,0.0,8012.701247017341,6.0,0.9797958971132712,0.9797958971132712,,4949.000779534999
7 pumped_hydro,eGon2035,7,pumped_hydro,4004.0,0.0,1.0,0.0,7997.260842413574,6.0,0.8660254037844386,0.8660254037844386,,4004.0
8 battery,eGon2035,8,battery,2025.02449595,0.0,1.0,0.0,0.0,6.0,0.9797958971132712,0.9797958971132712,,2025.02449595
