name,scn_name,bus,carrier,e_nom,e_nom_max,e_initial,capital_cost,e_nom_opt
71582 central_heat_store,eGon2035,71582,central_heat_store,1355.8319468523773,inf,668.7676563833919,2.105894851346997,1355.8319468523773
71583 central_heat_store,eGon2035,71583,central_heat_store,1868.1093694239062,inf,1234.9436408992408,2.105894851346997,1868.1093694239062
71584 central_heat_store,eGon2035,71584,central_heat_store,7858.823467942796,inf,6059.697449439437,2.105894851346997,7858.823467942796
71585 central_heat_store,eGon2035,71585,central_heat_store,2767.2618517799583,inf,1929.9162774567378,2.105894851346997,2767.2618517799583
71586 central_heat_store,eGon2035,71586,central_heat_store,1358.1199185291462,inf,688.8038276568507,2.105894851346997,1358.1199185291462
71587 central_heat_store,eGon2035,71587,central_heat_store,1364.2481904203755,inf,709.1837212421516,2.105894851346997,1364.2481904203755
71588 central_heat_store,eGon2035,71588,central_heat_store,1359.1131910329966,inf,686.2111256448615,2.105894851346997,1359.1131910329966
71589 central_heat_store,eGon2035,71589,central_heat_store,1355.7694083287367,inf,664.3009604718309,2.105894851346997,1355.7694083287367
71590 central_heat_store,eGon2035,71590,central_heat_store,1356.0402533116421,inf,668.4531235211799,2.105894851346997,1356.0402533116421
71591 central_heat_store,eGon2035,71591,central_heat_store,1425.8851485123118,inf,797.5348972619978,2.105894851346997,1425.8851485123118
71592 central_heat_store,eGon2035,71592,central_heat_store,1357.979666020749,inf,690.8708641988286,2.105894851346997,1357.979666020749
71593 central_heat_store,eGon2035,71593,central_heat_store,1363.6964627599802,inf,708.5238697678352,2.105894851346997,1363.6964627599802
71594 central_heat_store,eGon2035,71594,central_heat_store,1354.532873388236,inf,661.0581300845294,2.105894851346997,1354.532873388236
71595 central_heat_store,eGon2035,71595,central_heat_store,1367.7518291394736,inf,728.195579327857,2.105894851346997,1367.7518291394736
71596 central_heat_store,eGon2035,71596,central_heat_store,1356.033094671153,inf,667.3323165065096,2.105894851346997,1356.033094671153
71597 central_heat_store,eGon2035,71597,central_heat_store,1365.3428805095823,inf,679.8787418955683,2.105894851346997,1365.3428805095823
71598 central_heat_store,eGon2035,71598,central_heat_store,1393.7433612882164,inf,813.5684550243669,2.105894851346997,1393.7433612882164
71599 central_heat_store,eGon2035,71599,central_heat_store,1355.613200816865,inf,663.5448863253523,2.105894851346997,1355.613200816865
71600 central_heat_store,eGon2035,71600,central_heat_store,1355.993950947305,inf,673.9665605245999,2.105894851346997,1355.993950947305
71601 central_heat_store,eGon2035,71601,central_heat_store,1529.794202978312,inf,916.2870987435642,2.105894851346997,1529.794202978312
71602 central_heat_store,eGon2035,71602,central_heat_store,1423.7052656540816,inf,833.9002398668355,2.105894851346997,1423.7052656540816
71603 central_heat_store,eGon2035,71603,central_heat_store,1356.5598206872241,inf,669.2788300544112,2.105894851346997,1356.5598206872241
71604 central_heat_store,eGon2035,71604,central_heat_store,1355.6493611090914,inf,660.3544779527447,2.105894851346997,1355.6493611090914
71605 central_heat_store,eGon2035,71605,central_heat_store,1355.669668119926,inf,665.6979553096894,2.105894851346997,1355.669668119926
71606 central_heat_store,eGon2035,71606,central_heat_store,1382.1043036790356,inf,748.9924491424691,2.105894851346997,1382.1043036790356
71607 central_heat_store,eGon2035,71607,central_heat_store,2697.8873142419775,inf,1717.777451028505,2.105894851346997,2697.8873142419775
71608 central_heat_store,eGon2035,71608,central_heat_store,1371.5757088010673,inf,723.0205139943969,2.105894851346997,1371.5757088010673
71609 central_heat_store,eGon2035,71609,central_heat_store,1355.6600798396187,inf,660.4433253651266,2.105894851346997,1355.6600798396187
71610 central_heat_store,eGon2035,71610,central_heat_store,1358.1789417549016,inf,678.9481871759564,2.105894851346997,1358.1789417549016
71611 central_heat_store,eGon2035,71611,central_heat_store,1357.078644376015,inf,678.4689031648256,2.105894851346997,1357.078644376015
71612 central_heat_store,eGon2035,71612,central_heat_store,4241.005927027145,inf,3684.4837801015096,2.105894851346997,4241.005927027145
71613 central_heat_store,eGon2035,71613,central_heat_store,1355.5740754707215,inf,662.6833737512703,2.105894851346997,1355.5740754707215
